date,usage_kwh,co2_kg,lagging_reactive_kvarh,leading_reactive_kvarh,lagging_power_factor,leading_power_factor,Day_of_week,Load_Type,year,month,day,hour,co2_per_kwh,reactive_power_percent
2018-01-01 00:15:00,3.17,0.0,2.95,0.0,73.21,100.0,Monday,Light_Load,2018,01,01,00,0.0,93.05993690851736
2018-01-01 00:30:00,4.0,0.0,4.46,0.0,66.77,100.0,Monday,Light_Load,2018,01,01,00,0.0,111.5
2018-01-01 00:45:00,3.24,0.0,3.28,0.0,70.28,100.0,Monday,Light_Load,2018,01,01,00,0.0,101.23456790123456
2018-01-01 01:00:00,3.31,0.0,3.56,0.0,68.09,100.0,Monday,Light_Load,2018,01,01,01,0.0,107.55287009063443
2018-01-01 01:15:00,3.82,0.0,4.5,0.0,64.72,100.0,Monday,Light_Load,2018,01,01,01,0.0,117.80104712041886
2018-01-01 01:30:00,3.28,0.0,3.56,0.0,67.76,100.0,Monday,Light_Load,2018,01,01,01,0.0,108.53658536585367
2018-01-01 01:45:00,3.6,0.0,4.14,0.0,65.62,100.0,Monday,Light_Load,2018,01,01,01,0.0,114.99999999999999
2018-01-01 02:00:00,3.6,0.0,4.28,0.0,64.37,100.0,Monday,Light_Load,2018,01,01,02,0.0,118.88888888888889
2018-01-01 02:15:00,3.28,0.0,3.64,0.0,66.94,100.0,Monday,Light_Load,2018,01,01,02,0.0,110.97560975609757
2018-01-01 02:30:00,3.78,0.0,4.72,0.0,62.51,100.0,Monday,Light_Load,2018,01,01,02,0.0,124.86772486772486
2018-01-01 02:45:00,3.46,0.0,4.03,0.0,65.14,100.0,Monday,Light_Load,2018,01,01,02,0.0,116.47398843930637
2018-01-01 03:00:00,3.24,0.0,3.64,0.0,66.49,100.0,Monday,Light_Load,2018,01,01,03,0.0,112.34567901234567
2018-01-01 03:15:00,3.96,0.0,4.97,0.0,62.32,100.0,Monday,Light_Load,2018,01,01,03,0.0,125.50505050505049
2018-01-01 03:30:00,3.31,0.0,3.74,0.0,66.27,100.0,Monday,Light_Load,2018,01,01,03,0.0,112.99093655589125
2018-01-01 03:45:00,3.31,0.0,3.85,0.0,65.19,100.0,Monday,Light_Load,2018,01,01,03,0.0,116.31419939577039
2018-01-01 04:00:00,3.89,0.0,5.0,0.0,61.4,100.0,Monday,Light_Load,2018,01,01,04,0.0,128.53470437017995
2018-01-01 04:15:00,3.28,0.0,3.82,0.0,65.14,100.0,Monday,Light_Load,2018,01,01,04,0.0,116.46341463414633
2018-01-01 04:30:00,3.56,0.0,4.28,0.0,63.95,100.0,Monday,Light_Load,2018,01,01,04,0.0,120.2247191011236
2018-01-01 04:45:00,3.74,0.0,4.54,0.0,63.58,100.0,Monday,Light_Load,2018,01,01,04,0.0,121.3903743315508
2018-01-01 05:00:00,3.31,0.0,3.6,0.0,67.68,100.0,Monday,Light_Load,2018,01,01,05,0.0,108.76132930513596
2018-01-01 05:15:00,3.56,0.0,4.07,0.0,65.84,100.0,Monday,Light_Load,2018,01,01,05,0.0,114.32584269662922
2018-01-01 05:30:00,3.56,0.0,4.1,0.0,65.56,100.0,Monday,Light_Load,2018,01,01,05,0.0,115.16853932584267
2018-01-01 05:45:00,3.28,0.0,3.49,0.0,68.48,100.0,Monday,Light_Load,2018,01,01,05,0.0,106.40243902439026
2018-01-01 06:00:00,3.78,0.0,4.32,0.0,65.85,100.0,Monday,Light_Load,2018,01,01,06,0.0,114.2857142857143
2018-01-01 06:15:00,3.35,0.0,3.64,0.0,67.72,100.0,Monday,Light_Load,2018,01,01,06,0.0,108.65671641791046
2018-01-01 06:30:00,3.24,0.0,3.35,0.0,69.52,100.0,Monday,Light_Load,2018,01,01,06,0.0,103.39506172839505
2018-01-01 06:45:00,3.89,0.0,4.46,0.0,65.73,100.0,Monday,Light_Load,2018,01,01,06,0.0,114.65295629820051
2018-01-01 07:00:00,3.31,0.0,3.53,0.0,68.4,100.0,Monday,Light_Load,2018,01,01,07,0.0,106.6465256797583
2018-01-01 07:15:00,3.28,0.0,3.49,0.0,68.48,100.0,Monday,Light_Load,2018,01,01,07,0.0,106.40243902439026
2018-01-01 07:30:00,3.85,0.0,4.75,0.0,62.97,100.0,Monday,Light_Load,2018,01,01,07,0.0,123.37662337662339
2018-01-01 07:45:00,3.2,0.0,3.6,0.0,66.44,100.0,Monday,Light_Load,2018,01,01,07,0.0,112.5
2018-01-01 08:00:00,3.31,0.0,3.78,0.0,65.88,100.0,Monday,Light_Load,2018,01,01,08,0.0,114.19939577039273
2018-01-01 08:15:00,3.78,0.0,4.75,0.0,62.27,100.0,Monday,Light_Load,2018,01,01,08,0.0,125.66137566137567
2018-01-01 08:30:00,3.28,0.0,3.74,0.0,65.94,100.0,Monday,Light_Load,2018,01,01,08,0.0,114.02439024390245
2018-01-01 08:45:00,3.49,0.0,4.46,0.18,61.63,99.87,Monday,Light_Load,2018,01,01,08,0.0,132.95128939828078
2018-01-01 09:00:00,3.89,0.0,0.0,15.66,100.0,24.11,Monday,Light_Load,2018,01,01,09,0.0,402.5706940874036
2018-01-01 09:15:00,3.6,0.0,0.0,16.96,100.0,20.76,Monday,Light_Load,2018,01,01,09,0.0,471.11111111111114
2018-01-01 09:30:00,4.03,0.0,0.0,21.28,100.0,18.61,Monday,Light_Load,2018,01,01,09,0.0,528.0397022332506
2018-01-01 09:45:00,3.92,0.0,0.0,19.22,100.0,19.98,Monday,Light_Load,2018,01,01,09,0.0,490.3061224489796
2018-01-01 10:00:00,3.64,0.0,0.0,16.88,100.0,21.08,Monday,Light_Load,2018,01,01,10,0.0,463.7362637362637
2018-01-01 10:15:00,4.07,0.0,0.0,22.32,100.0,17.94,Monday,Light_Load,2018,01,01,10,0.0,548.4029484029484
2018-01-01 10:30:00,3.71,0.0,0.0,18.0,100.0,20.19,Monday,Light_Load,2018,01,01,10,0.0,485.17520215633425
2018-01-01 10:45:00,3.6,0.0,0.0,16.92,100.0,20.81,Monday,Light_Load,2018,01,01,10,0.0,470.0
2018-01-01 11:00:00,4.21,0.0,0.0,23.4,100.0,17.71,Monday,Light_Load,2018,01,01,11,0.0,555.8194774346794
2018-01-01 11:15:00,3.49,0.0,0.0,5.65,100.0,52.55,Monday,Light_Load,2018,01,01,11,0.0,161.89111747851004
2018-01-01 11:30:00,3.46,0.0,0.0,4.82,100.0,58.31,Monday,Light_Load,2018,01,01,11,0.0,139.3063583815029
2018-01-01 11:45:00,4.0,0.0,0.0,6.7,100.0,51.26,Monday,Light_Load,2018,01,01,11,0.0,167.5
2018-01-01 12:00:00,3.49,0.0,0.0,4.57,100.0,60.69,Monday,Light_Load,2018,01,01,12,0.0,130.945558739255
2018-01-01 12:15:00,3.6,0.0,0.0,12.89,100.0,26.9,Monday,Light_Load,2018,01,01,12,0.0,358.05555555555554
2018-01-01 12:30:00,4.25,0.0,0.0,23.15,100.0,18.06,Monday,Light_Load,2018,01,01,12,0.0,544.7058823529411
2018-01-01 12:45:00,3.67,0.0,0.0,16.67,100.0,21.5,Monday,Light_Load,2018,01,01,12,0.0,454.22343324250687
2018-01-01 13:00:00,3.67,0.0,0.0,16.63,100.0,21.55,Monday,Light_Load,2018,01,01,13,0.0,453.133514986376
2018-01-01 13:15:00,4.25,0.0,0.0,23.33,100.0,17.92,Monday,Light_Load,2018,01,01,13,0.0,548.9411764705882
2018-01-01 13:30:00,3.64,0.0,0.0,16.74,100.0,21.25,Monday,Light_Load,2018,01,01,13,0.0,459.89010989010984
2018-01-01 13:45:00,3.67,0.0,0.0,16.99,100.0,21.11,Monday,Light_Load,2018,01,01,13,0.0,462.9427792915531
2018-01-01 14:00:00,4.28,0.0,0.0,23.4,100.0,17.99,Monday,Light_Load,2018,01,01,14,0.0,546.7289719626168
2018-01-01 14:15:00,3.64,0.0,0.0,16.67,100.0,21.33,Monday,Light_Load,2018,01,01,14,0.0,457.96703296703305
2018-01-01 14:30:00,3.78,0.0,0.0,18.25,100.0,20.28,Monday,Light_Load,2018,01,01,14,0.0,482.8042328042328
2018-01-01 14:45:00,4.1,0.0,0.0,22.1,100.0,18.24,Monday,Light_Load,2018,01,01,14,0.0,539.0243902439025
2018-01-01 15:00:00,3.64,0.0,0.0,16.7,100.0,21.3,Monday,Light_Load,2018,01,01,15,0.0,458.79120879120876
2018-01-01 15:15:00,3.92,0.0,0.0,19.33,100.0,19.87,Monday,Light_Load,2018,01,01,15,0.0,493.11224489795916
2018-01-01 15:30:00,4.1,0.0,0.0,21.35,100.0,18.86,Monday,Light_Load,2018,01,01,15,0.0,520.7317073170732
2018-01-01 15:45:00,3.6,0.0,0.0,16.81,100.0,20.94,Monday,Light_Load,2018,01,01,15,0.0,466.94444444444446
2018-01-01 16:00:00,3.96,0.0,0.0,20.45,100.0,19.01,Monday,Light_Load,2018,01,01,16,0.0,516.4141414141415
2018-01-01 16:15:00,4.0,0.0,0.0,20.77,100.0,18.91,Monday,Light_Load,2018,01,01,16,0.0,519.25
2018-01-01 16:30:00,3.6,0.0,0.0,16.81,100.0,20.94,Monday,Light_Load,2018,01,01,16,0.0,466.94444444444446
2018-01-01 16:45:00,4.07,0.0,0.0,21.64,100.0,18.48,Monday,Light_Load,2018,01,01,16,0.0,531.6953316953317
2018-01-01 17:00:00,3.82,0.0,0.0,19.19,100.0,19.52,Monday,Light_Load,2018,01,01,17,0.0,502.3560209424084
2018-01-01 17:15:00,3.56,0.0,0.0,16.96,100.0,20.54,Monday,Light_Load,2018,01,01,17,0.0,476.4044943820225
2018-01-01 17:30:00,4.1,0.0,0.0,23.51,100.0,17.18,Monday,Light_Load,2018,01,01,17,0.0,573.4146341463415
2018-01-01 17:45:00,3.6,0.0,0.0,17.39,100.0,20.27,Monday,Light_Load,2018,01,01,17,0.0,483.05555555555554
2018-01-01 18:00:00,3.6,0.0,0.0,17.35,100.0,20.32,Monday,Light_Load,2018,01,01,18,0.0,481.94444444444446
2018-01-01 18:15:00,4.0,0.0,0.0,8.96,100.0,40.77,Monday,Light_Load,2018,01,01,18,0.0,224.00000000000003
2018-01-01 18:30:00,3.42,0.0,0.0,5.47,100.0,53.01,Monday,Light_Load,2018,01,01,18,0.0,159.94152046783626
2018-01-01 18:45:00,3.67,0.0,0.0,16.24,100.0,22.04,Monday,Light_Load,2018,01,01,18,0.0,442.50681198910075
2018-01-01 19:00:00,4.07,0.0,0.0,22.57,100.0,17.75,Monday,Light_Load,2018,01,01,19,0.0,554.5454545454545
2018-01-01 19:15:00,3.53,0.0,0.0,17.39,100.0,19.89,Monday,Light_Load,2018,01,01,19,0.0,492.6345609065156
2018-01-01 19:30:00,3.85,0.0,0.0,20.74,100.0,18.25,Monday,Light_Load,2018,01,01,19,0.0,538.7012987012986
